,Unnamed: 0,bee sp. count,plant,year,month,state,county,Latitude,Longitude,scientificName,fips,lat,lon,elevation,mean_temp,wind_speed,wind_gust,precipitation
14,14,1,,2008,8,Illinois,Pope,37.37934,-88.59228,Bombus pensylvanicus,6037,34.35892237,-118.2170487,305.7,65.8,10.9,24.1,0.0
15,15,4,,2009,8,Illinois,Union,37.4471,-89.11745,Bombus pensylvanicus,6059,33.70297871,-117.7610909,16.5,58.5,2.8,,0.0
16,16,4,,2009,8,Indiana,Dubois,38.40926,-86.73048,Bombus pensylvanicus,17031,41.84003921,-87.81671569,186.5,31.1,6.0,,0.0
17,17,3,,2009,7,Iowa,Crawford,41.99105,-95.39279,Bombus pensylvanicus,53061,48.04748918,-121.6973065,41.8,47.3,11.3,20.0,0.13
18,18,6,,2008,9,Iowa,Mahaska,41.32979,-92.64732,Bombus pensylvanicus,4013,33.34881254,-112.4913064,295.1,61.4,4.5,,0.0
19,19,1,,2009,7,Iowa,Marion,41.40711,-92.87099,Bombus pensylvanicus,6037,34.35892237,-118.2170487,305.7,67.0,8.5,15.9,0.0
20,20,1,,2009,6,Kansas,Douglas,38.75328,-95.26876,Bombus pensylvanicus,6059,33.70297871,-117.7610909,16.5,61.3,2.1,,0.0
21,21,36,,2008,7,Kansas,Jefferson,39.14434,-95.50159,Bombus pensylvanicus,17031,41.84003921,-87.81671569,186.5,32.8,4.7,,0.0
22,22,3,,2009,6,Kansas,Morris,38.68715,-96.49283,Bombus pensylvanicus,53061,48.04748918,-121.6973065,41.8,45.5,5.3,21.0,0.21
23,23,5,,2008,7,Kansas,Rush,38.46469,-99.16946,Bombus pensylvanicus,4013,33.34881254,-112.4913064,295.1,56.6,3.3,,0.0
24,24,7,,2009,7,Kentucky,McCracken,37.02527,-88.76222,Bombus pensylvanicus,6037,34.35892237,-118.2170487,305.7,64.5,14.3,33.0,0.0
25,25,1,,2009,7,Kentucky,Trigg,36.83592,-87.86253,Bombus pensylvanicus,6059,33.70297871,-117.7610909,16.5,62.1,4.3,27.0,0.0
26,26,38,,2009,6,Louisiana,Bienville,32.26892,-93.02177,Bombus pensylvanicus,17031,41.84003921,-87.81671569,186.5,31.7,3.0,,0.0
27,27,8,,2009,6,Louisiana,Bossier,32.52578,-93.67943,Bombus pensylvanicus,53061,48.04748918,-121.6973065,41.8,46.8,9.3,22.9,0.74
28,28,1,,2009,6,Mississippi,Clay,33.55438,-88.64165,Bombus pensylvanicus,4013,33.34881254,-112.4913064,295.1,58.2,6.0,,0.0
29,29,26,,2009,6,Mississippi,Clay,33.55438,-88.64165,Bombus pensylvanicus,6037,34.35892237,-118.2170487,305.7,64.9,4.4,19.0,0.0
30,30,2,,2009,8,Missouri,Adair,40.16584,-92.57161,Bombus pensylvanicus,6059,33.70297871,-117.7610909,16.5,66.6,5.5,28.0,0.0
31,31,14,,2009,8,Missouri,Boone,38.98974000000001,-92.51566,Bombus pensylvanicus,17031,41.84003921,-87.81671569,186.5,32.7,3.3,,0.09
32,32,2,,2008,7,Missouri,Christian,37.05655,-93.56777,Bombus pensylvanicus,53061,48.04748918,-121.6973065,41.8,39.0,3.4,,0.12
33,33,1,,2009,6,Missouri,Franklin,38.46823,-90.81744,Bombus pensylvanicus,4013,33.34881254,-112.4913064,295.1,59.9,3.5,,0.0
34,34,2,,2009,8,Missouri,Franklin,38.48037,-90.82338,Bombus pensylvanicus,6037,34.35892237,-118.2170487,305.7,69.7,3.1,,0.0
35,35,2,,2009,8,Missouri,Lawrence,36.96193,-93.68428,Bombus pensylvanicus,6059,33.70297871,-117.7610909,16.5,63.6,2.9,,0.0
36,36,24,,2009,8,Missouri,Lawrence,36.96193,-93.68428,Bombus pensylvanicus,6085,37.2317948,-121.6951413,40.5,56.4,0.9,,0.0
37,37,2,,2008,7,Missouri,Macon,39.89866,-92.47369,Bombus pensylvanicus,17031,41.84003921,-87.81671569,186.5,33.6,4.9,,0.0
38,38,5,,2008,9,Missouri,Scotland,40.50023,-92.16366,Bombus pensylvanicus,53061,48.04748918,-121.6973065,41.8,51.9,14.7,35.0,0.24
39,39,1,,2008,9,Missouri,Scotland,40.50023,-92.16366,Bombus pensylvanicus,4013,33.34881254,-112.4913064,295.1,61.1,4.6,,0.0
40,40,5,,2008,6,Missouri,Saint Charles,38.70967,-90.74902,Bombus pensylvanicus,6037,34.35892237,-118.2170487,305.7,74.1,2.9,15.9,0.0
41,41,3,,2008,7,Missouri,Saint Louis,38.62258,-90.37707,Bombus pensylvanicus,6059,33.70297871,-117.7610909,16.5,67.2,1.8,,0.0
42,42,9,,2009,6,Nebraska,Garfield,41.7404,-98.8093,Bombus pensylvanicus,6085,37.2317948,-121.6951413,40.5,58.3,0.9,,0.0
43,43,1,,2009,6,Nebraska,Howard,41.1255,-98.5542,Bombus pensylvanicus,17031,41.84003921,-87.81671569,186.5,34.8,9.0,25.1,0.04
44,44,1,,2008,7,Nebraska,Lancaster,40.95999000000001,-96.86378,Bombus pensylvanicus,25025,42.33390357,-71.07309944,0.0,37.3,0.0,,0.0
45,45,1,,2009,7,North Carolina,Anson,35.04361,-80.025,Bombus pensylvanicus,53061,48.04748918,-121.6973065,41.8,50.7,17.4,45.1,0.17
46,46,1,,2009,7,North Carolina,Guilford,35.9806,-79.55724000000002,Bombus pensylvanicus,4013,33.34881254,-112.4913064,295.1,63.6,5.5,,0.0
47,47,1,,2009,7,Ohio,Ottawa,41.49377,-83.21989,Bombus pensylvanicus,6037,34.35892237,-118.2170487,305.7,67.6,5.2,17.1,0.0
48,48,7,,2009,8,Oklahoma,Bryan,33.9987,-96.53535,Bombus pensylvanicus,6059,33.70297871,-117.7610909,16.5,62.4,3.7,,0.0
49,49,1,,2009,8,Oklahoma,Bryan,33.9987,-96.53535,Bombus pensylvanicus,6075,37.75512993,-122.44088329999998,2.0,52.7,5.6,,0.0
50,50,8,,2009,8,Oklahoma,Cleveland,35.25402000000001,-97.2653,Bombus pensylvanicus,6085,37.2317948,-121.6951413,40.5,54.9,9.4,28.9,0.0
51,51,16,,2008,7,Oklahoma,Cleveland,35.18917000000001,-97.36465,Bombus pensylvanicus,17031,41.84003921,-87.81671569,186.5,41.7,14.1,31.1,0.0
52,52,9,,2008,7,Oklahoma,Comanche,34.7842,-98.51345,Bombus pensylvanicus,25025,42.33390357,-71.07309944,0.0,37.7,0.0,,0.0
53,53,2,,2009,7,South Carolina,Kershaw,34.15635,-80.57427,Bombus pensylvanicus,53061,48.04748918,-121.6973065,41.8,35.2,4.2,18.1,0.14
54,54,1,,2009,7,South Carolina,Laurens,34.44358,-81.75544000000002,Bombus pensylvanicus,4013,33.34881254,-112.4913064,295.1,58.1,8.9,24.1,0.0
55,55,1,,2008,8,South Dakota,Kingsbury,44.37173,-97.5246,Bombus pensylvanicus,6037,34.35892237,-118.2170487,305.7,53.3,11.5,31.1,0.0
56,56,15,,2008,8,South Dakota,Turner,43.19209,-97.08081,Bombus pensylvanicus,6059,33.70297871,-117.7610909,16.5,59.4,4.5,,0.02
57,57,14,,2008,8,South Dakota,Stanley,44.29068,-100.33306,Bombus pensylvanicus,6075,37.75512993,-122.44088329999998,2.0,47.7,4.2,,0.0
58,58,1,,2009,7,Tennessee,Benton,36.01198,-88.06058,Bombus pensylvanicus,6085,37.2317948,-121.6951413,40.5,48.1,10.5,26.0,0.0
59,59,5,,2008,7,Texas,Polk,30.67105,-94.71843,Bombus pensylvanicus,17031,41.84003921,-87.81671569,186.5,39.5,6.2,,0.0
60,60,67,,2008,7,Texas,Travis,30.35093,-97.45035,Bombus pensylvanicus,25025,42.33390357,-71.07309944,0.0,40.4,0.0,,0.0
61,61,24,,2008,7,Texas,Travis,30.18556,-97.87051,Bombus pensylvanicus,53061,48.04748918,-121.6973065,41.8,34.5,2.2,,0.0
62,62,8,,2009,8,Texas,Bastrop,30.34797,-97.38469,Bombus pensylvanicus,4013,33.34881254,-112.4913064,295.1,46.8,8.2,,0.0
63,63,14,,2009,8,Texas,Eastland,32.09948,-98.96429,Bombus pensylvanicus,6037,34.35892237,-118.2170487,305.7,51.7,12.5,27.0,0.0
64,64,9,,2008,7,Texas,Galveston,29.08681,-95.11679,Bombus pensylvanicus,6059,33.70297871,-117.7610909,16.5,57.5,15.3,29.9,0.0
65,65,24,,2008,7,Texas,Galveston,29.094990000000006,-95.10417,Bombus pensylvanicus,6075,37.75512993,-122.44088329999998,2.0,50.7,7.1,,0.0
66,66,1,Epilobium latifolium,2010,8,Alaska,Valdez-Cordova,61.3871,-145.2288,Bombus moderatus,6085,37.2317948,-121.6951413,40.5,,,,
67,67,1,Epilobium parviflorum,2010,8,Alaska,Valdez-Cordova,63.19363000000001,-145.6486,Bombus moderatus,17031,41.84003921,-87.81671569,186.5,36.3,16.5,33.0,0.0
68,68,1,Epilobium parviflorum,2010,8,Alaska,Valdez-Cordova,63.19363000000001,-145.6486,Bombus moderatus,25025,42.33390357,-71.07309944,0.0,40.9,0.0,,0.0
69,69,1,Potentilla sp.,2010,8,Alaska,Yukon-Koyukuk,67.8692,-149.8245,Bombus moderatus,53061,48.04748918,-121.6973065,41.8,31.7,2.7,,0.0
70,70,1,Potentilla sp.,2010,8,Alaska,Yukon-Koyukuk,67.8692,-149.8245,Bombus moderatus,4013,33.34881254,-112.4913064,295.1,45.6,6.9,,0.0
71,71,1,Potentilla sp.,2010,8,Alaska,Yukon-Koyukuk,67.8692,-149.8245,Bombus moderatus,6037,34.35892237,-118.2170487,305.7,52.9,4.5,,0.0
72,72,1,Potentilla sp.,2010,8,Alaska,Yukon-Koyukuk,67.8692,-149.8245,Bombus moderatus,6059,33.70297871,-117.7610909,16.5,54.1,2.1,,0.0
73,73,1,Potentilla sp.,2010,8,Alaska,Yukon-Koyukuk,67.8692,-149.8245,Bombus moderatus,6075,37.75512993,-122.44088329999998,2.0,48.1,2.4,,0.0
74,74,1,Potentilla sp.,2010,8,Alaska,Yukon-Koyukuk,67.8692,-149.8245,Bombus moderatus,6085,37.2317948,-121.6951413,40.5,50.5,4.0,20.0,0.0
75,75,1,Potentilla sp.,2010,8,Alaska,Yukon-Koyukuk,67.8692,-149.8245,Bombus moderatus,17031,41.84003921,-87.81671569,186.5,30.0,13.2,24.1,0.0
76,76,1,Potentilla sp.,2010,8,Alaska,Yukon-Koyukuk,67.8692,-149.8245,Bombus moderatus,25025,42.33390357,-71.07309944,0.0,39.7,0.0,,0.0
77,77,1,Potentilla sp.,2010,8,Alaska,Yukon-Koyukuk,67.8692,-149.8245,Bombus moderatus,53061,48.04748918,-121.6973065,41.8,38.1,6.8,15.9,0.75
78,78,1,Potentilla sp.,2010,8,Alaska,Yukon-Koyukuk,67.8692,-149.8245,Bombus moderatus,55025,43.06731606,-89.41815516,264.0,20.7,4.7,,0.0
79,79,1,Potentilla sp.,2010,8,Alaska,Yukon-Koyukuk,67.8692,-149.8245,Bombus moderatus,4013,33.34881254,-112.4913064,295.1,48.7,6.4,,0.0
80,80,1,Potentilla sp.,2010,8,Alaska,Yukon-Koyukuk,67.8692,-149.8245,Bombus moderatus,6037,34.35892237,-118.2170487,305.7,56.4,0.5,,0.0
81,81,1,Potentilla sp.,2010,8,Alaska,Yukon-Koyukuk,67.8692,-149.8245,Bombus moderatus,6059,33.70297871,-117.7610909,16.5,55.7,3.2,,0.0
82,82,1,Potentilla sp.,2010,8,Alaska,Yukon-Koyukuk,67.8692,-149.8245,Bombus moderatus,6075,37.75512993,-122.44088329999998,2.0,51.2,1.0,,0.0
83,83,1,Potentilla sp.,2010,8,Alaska,Yukon-Koyukuk,67.8692,-149.8245,Bombus moderatus,6085,37.2317948,-121.6951413,40.5,54.2,2.8,,0.0
84,84,1,Potentilla sp.,2010,8,Alaska,Yukon-Koyukuk,67.8692,-149.8245,Bombus moderatus,17031,41.84003921,-87.81671569,186.5,28.6,11.4,27.0,0.05
85,85,1,Potentilla sp.,2010,8,Alaska,Yukon-Koyukuk,67.8692,-149.8245,Bombus moderatus,25025,42.33390357,-71.07309944,0.0,36.1,0.0,,0.0
86,86,1,Potentilla sp.,2010,8,Alaska,Yukon-Koyukuk,67.8692,-149.8245,Bombus moderatus,53061,48.04748918,-121.6973065,41.8,40.6,3.9,,1.77
87,87,1,Potentilla sp.,2010,8,Alaska,Yukon-Koyukuk,67.8692,-149.8245,Bombus moderatus,55025,43.06731606,-89.41815516,264.0,24.4,3.6,,0.0
88,88,1,Potentilla sp.,2010,8,Alaska,Yukon-Koyukuk,67.8692,-149.8245,Bombus moderatus,4013,33.34881254,-112.4913064,295.1,53.5,3.8,,0.0
89,89,1,Potentilla sp.,2010,8,Alaska,Yukon-Koyukuk,67.8692,-149.8245,Bombus moderatus,6037,34.35892237,-118.2170487,305.7,59.6,0.3,,0.0
90,90,1,Potentilla sp.,2010,8,Alaska,Yukon-Koyukuk,67.8692,-149.8245,Bombus moderatus,6059,33.70297871,-117.7610909,16.5,57.5,2.4,,0.0
91,91,1,Potentilla sp.,2010,8,Alaska,Yukon-Koyukuk,67.8692,-149.8245,Bombus moderatus,6075,37.75512993,-122.44088329999998,2.0,52.3,2.1,,0.0
92,92,1,Melilotus alba,2010,8,Alaska,Yukon-Koyukuk,67.0525,-150.32826,Bombus moderatus,6085,37.2317948,-121.6951413,40.5,58.2,1.6,,0.0
93,93,1,Melilotus alba,2010,8,Alaska,Yukon-Koyukuk,67.0525,-150.32826,Bombus moderatus,17031,41.84003921,-87.81671569,186.5,29.7,7.8,,0.05
94,94,1,Melilotus alba,2010,7,Alaska,Yukon-Koyukuk,66.7106,-150.6728,Bombus moderatus,25025,42.33390357,-71.07309944,0.0,37.8,0.0,,0.0
95,95,1,Melilotus alba,2010,7,Alaska,Yukon-Koyukuk,66.7106,-150.6728,Bombus moderatus,53061,48.04748918,-121.6973065,41.8,42.6,6.2,39.0,0.53
96,96,1,Melilotus alba,2010,7,Alaska,Yukon-Koyukuk,66.7106,-150.6728,Bombus moderatus,55025,43.06731606,-89.41815516,264.0,22.0,2.4,,0.0
97,97,1,Melilotus alba,2010,7,Alaska,Yukon-Koyukuk,66.7106,-150.6728,Bombus moderatus,4013,33.34881254,-112.4913064,295.1,58.0,3.3,,0.0
98,98,1,Melilotus alba,2010,7,Alaska,Yukon-Koyukuk,66.7106,-150.6728,Bombus moderatus,6037,34.35892237,-118.2170487,305.7,61.6,1.2,,0.0
99,99,1,Melilotus alba,2010,7,Alaska,Yukon-Koyukuk,66.7106,-150.6728,Bombus moderatus,6059,33.70297871,-117.7610909,16.5,58.2,1.9,,0.0
100,100,1,Trifolium repens,2010,6,Alaska,Fairbanks North Star,65.2109,-148.1078,Bombus moderatus,6075,37.75512993,-122.44088329999998,2.0,50.5,1.9,,0.0
101,101,1,Epilobium parviflorum,2010,8,Alaska,Fairbanks North Star,64.6401,-146.8648,Bombus moderatus,6085,37.2317948,-121.6951413,40.5,54.9,3.5,,0.0
102,102,1,Epilobium parviflorum,2010,8,Alaska,Matanuska-Susitna,61.98675,-147.0767,Bombus moderatus,17031,41.84003921,-87.81671569,186.5,30.7,6.1,,0.0
103,103,1,Epilobium latifolium,2010,8,Alaska,North Slope,68.104,-149.5293,Bombus moderatus,25025,42.33390357,-71.07309944,0.0,30.9,0.0,,0.0
104,104,1,Epilobium latifolium,2010,8,Alaska,North Slope,68.104,-149.5293,Bombus moderatus,53061,48.04748918,-121.6973065,41.8,44.7,10.6,39.0,0.53
105,105,1,Lupinus arboreus,2010,7,California,Marin,38.07556,-122.97572,Bombus,55025,43.06731606,-89.41815516,264.0,25.7,3.6,15.0,0.0
106,106,1,Lupinus arboreus,2010,7,California,Marin,38.07556,-122.97572,Bombus,4013,33.34881254,-112.4913064,295.1,59.3,4.4,,0.0
107,107,1,,2009,7,Oregon,Baker,45.00633,-117.51675,Bombus,6037,34.35892237,-118.2170487,305.7,54.2,2.8,14.0,0.0
108,108,1,,2009,7,Oregon,Baker,45.00633,-117.51675,Bombus,6059,33.70297871,-117.7610909,16.5,58.5,5.6,15.0,0.0
109,109,1,Trifolium sp.,2009,7,Oregon,Baker,45.00633,-117.51675,Bombus,6075,37.75512993,-122.44088329999998,2.0,54.1,7.3,,0.0
110,110,1,,2009,7,Oregon,Baker,45.00633,-117.51675,Bombus,6085,37.2317948,-121.6951413,40.5,52.5,18.0,35.0,0.0
111,111,1,,2007,8,Utah,Box Elder,41.94909000000001,-113.34954,Bombus,17031,41.84003921,-87.81671569,186.5,29.9,9.0,28.0,0.0
112,112,1,,2007,8,Utah,Box Elder,41.96012,-113.44881,Bombus,25025,42.33390357,-71.07309944,0.0,25.6,0.0,,0.0
113,113,1,,2007,8,Utah,Box Elder,41.96012,-113.44881,Bombus,53061,48.04748918,-121.6973065,41.8,36.7,2.5,,0.1
114,114,1,,2008,7,Oregon,Jackson,42.08349000000001,-122.73063,Bombus,55025,43.06731606,-89.41815516,264.0,24.5,5.8,25.1,0.02
115,115,1,Geranium sp.,2009,8,Wyoming,Big Horn,44.80227,-107.90035,Bombus balteatus,4013,33.34881254,-112.4913064,295.1,61.4,4.6,,0.0
116,116,1,Geranium sp.,2009,8,Wyoming,Big Horn,44.80227,-107.90035,Bombus balteatus,6037,34.35892237,-118.2170487,305.7,61.1,9.9,32.1,0.0
117,117,1,Mertensia sp.,2009,8,Wyoming,Sheridan,44.76362,-107.75322,Bombus balteatus,6059,33.70297871,-117.7610909,16.5,60.9,6.1,29.9,0.3
118,118,1,Mertensia sp.,2009,8,Wyoming,Sheridan,44.76362,-107.75322,Bombus balteatus,6073,33.03414184,-116.735305,424.6,47.8,4.5,,0.24
119,119,1,Mertensia sp.,2009,8,Wyoming,Sheridan,44.76362,-107.75322,Bombus balteatus,6075,37.75512993,-122.44088329999998,2.0,58.7,5.9,,0.0
120,120,1,Mertensia sp.,2009,8,Wyoming,Sheridan,44.76362,-107.75322,Bombus balteatus,6085,37.2317948,-121.6951413,40.5,63.0,5.8,21.0,0.0
121,121,1,Mertensia sp.,2009,8,Wyoming,Sheridan,44.76362,-107.75322,Bombus balteatus,17031,41.84003921,-87.81671569,186.5,32.0,7.1,17.1,0.05
122,122,1,Mertensia sp.,2009,8,Wyoming,Sheridan,44.76362,-107.75322,Bombus balteatus,25025,42.33390357,-71.07309944,0.0,40.6,0.0,,0.0
123,123,1,Mertensia sp.,2009,8,Wyoming,Sheridan,44.76362,-107.75322,Bombus balteatus,53061,48.04748918,-121.6973065,41.8,37.6,2.5,,0.0
124,124,1,Mertensia sp.,2009,8,Wyoming,Sheridan,44.76362,-107.75322,Bombus balteatus,55025,43.06731606,-89.41815516,264.0,20.3,3.8,17.1,0.35
125,125,1,Mertensia sp.,2009,8,Wyoming,Sheridan,44.76362,-107.75322,Bombus balteatus,4013,33.34881254,-112.4913064,295.1,54.2,7.8,29.9,
126,126,1,Mertensia sp.,2009,8,Wyoming,Sheridan,44.76362,-107.75322,Bombus balteatus,6037,34.35892237,-118.2170487,305.7,66.3,10.5,31.1,0.0
127,127,1,Mertensia sp.,2009,8,Wyoming,Sheridan,44.76362,-107.75322,Bombus balteatus,6059,33.70297871,-117.7610909,16.5,63.5,6.3,31.1,0.0
128,128,1,Mertensia sp.,2009,8,Wyoming,Sheridan,44.76362,-107.75322,Bombus balteatus,6073,33.03414184,-116.735305,424.6,47.4,5.8,29.9,0.06
129,129,1,Mertensia sp.,2009,8,Wyoming,Sheridan,44.76362,-107.75322,Bombus balteatus,6075,37.75512993,-122.44088329999998,2.0,59.4,3.7,,0.0
130,130,1,,2009,8,Wyoming,Sheridan,44.76362,-107.75322,Bombus balteatus,6085,37.2317948,-121.6951413,40.5,61.9,6.9,24.1,0.0
131,131,1,,2008,8,Wyoming,Sheridan,44.7603,-107.5948,Bombus balteatus,17031,41.84003921,-87.81671569,186.5,30.5,8.8,27.0,0.0
132,132,1,,2008,8,Wyoming,Sheridan,44.7603,-107.5948,Bombus balteatus,25025,42.33390357,-71.07309944,0.0,41.5,0.0,,0.0
133,133,1,,2008,8,Wyoming,Sheridan,44.7595,-107.7414,Bombus balteatus,53061,48.04748918,-121.6973065,41.8,36.8,3.4,,0.0
134,134,1,,2008,8,Wyoming,Sheridan,44.7595,-107.7414,Bombus balteatus,55025,43.06731606,-89.41815516,264.0,23.3,5.3,19.0,0.0
135,135,1,Epilobium parviflorum,2010,8,Alaska,Valdez-Cordova,63.19363000000001,-145.6486,Bombus balteatus,4013,33.34881254,-112.4913064,295.1,53.8,5.2,,0.0
136,136,1,Epilobium parviflorum,2010,8,Alaska,Valdez-Cordova,63.19363000000001,-145.6486,Bombus balteatus,6037,34.35892237,-118.2170487,305.7,59.6,2.0,,0.0
137,137,1,Epilobium parviflorum,2010,8,Alaska,Valdez-Cordova,63.19363000000001,-145.6486,Bombus balteatus,6059,33.70297871,-117.7610909,16.5,59.2,3.9,,0.0
138,138,1,Epilobium parviflorum,2010,8,Alaska,Valdez-Cordova,63.19363000000001,-145.6486,Bombus balteatus,6073,33.03414184,-116.735305,424.6,45.5,2.9,,0.0
139,139,1,Epilobium parviflorum,2010,8,Alaska,Valdez-Cordova,63.19363000000001,-145.6486,Bombus balteatus,6075,37.75512993,-122.44088329999998,2.0,54.1,2.5,,0.0
140,140,1,Epilobium parviflorum,2010,8,Alaska,Valdez-Cordova,63.19363000000001,-145.6486,Bombus balteatus,6085,37.2317948,-121.6951413,40.5,59.8,3.4,,0.0
141,141,1,Epilobium latifolium,2010,8,Alaska,North Slope,68.104,-149.5293,Bombus balteatus,17031,41.84003921,-87.81671569,186.5,29.5,7.0,20.0,0.0
142,142,1,Epilobium latifolium,2010,8,Alaska,North Slope,68.104,-149.5293,Bombus balteatus,25025,42.33390357,-71.07309944,0.0,40.1,0.0,,0.0
143,143,1,Epilobium latifolium,2010,8,Alaska,North Slope,68.104,-149.5293,Bombus balteatus,48029,29.44894569,-98.52001171,210.3,49.4,7.4,19.0,0.51
144,144,1,Epilobium parviflorum,2010,8,Alaska,North Slope,68.64699999999999,-149.411,Bombus balteatus,53061,48.04748918,-121.6973065,41.8,42.3,1.6,,0.14
145,145,1,Epilobium parviflorum,2010,8,Alaska,North Slope,68.64699999999999,-149.411,Bombus balteatus,55025,43.06731606,-89.41815516,264.0,24.2,6.7,18.1,0.0
146,146,1,Epilobium parviflorum,2010,8,Alaska,North Slope,68.64699999999999,-149.411,Bombus balteatus,4013,33.34881254,-112.4913064,295.1,55.8,4.8,,0.0
147,147,1,Epilobium parviflorum,2010,8,Alaska,North Slope,68.64699999999999,-149.411,Bombus balteatus,6037,34.35892237,-118.2170487,305.7,60.2,0.8,,0.0
148,148,1,Epilobium parviflorum,2010,8,Alaska,North Slope,68.64699999999999,-149.411,Bombus balteatus,6059,33.70297871,-117.7610909,16.5,57.7,3.0,,0.0
149,149,1,,2008,8,Colorado,Gunnison,39.0116,-107.0526,Bombus balteatus,6073,33.03414184,-116.735305,424.6,46.0,2.1,,0.0
150,150,1,,2008,8,Colorado,Gunnison,39.0116,-107.0526,Bombus balteatus,6075,37.75512993,-122.44088329999998,2.0,51.0,3.6,,0.0
151,151,1,,2008,8,Colorado,Gunnison,39.0116,-107.0526,Bombus balteatus,6085,37.2317948,-121.6951413,40.5,55.9,4.2,,0.0
152,152,1,,2008,8,Colorado,Gunnison,39.0116,-107.0526,Bombus balteatus,17031,41.84003921,-87.81671569,186.5,24.5,9.1,25.1,0.2
153,153,1,,2008,8,Colorado,Gunnison,39.0116,-107.0526,Bombus balteatus,25025,42.33390357,-71.07309944,0.0,37.6,0.0,,0.0
154,154,1,,2008,8,Colorado,Gunnison,39.0116,-107.0526,Bombus balteatus,48029,29.44894569,-98.52001171,210.3,51.1,7.1,17.1,0.01
155,155,1,,2008,8,Colorado,Gunnison,39.0116,-107.0526,Bombus balteatus,53061,48.04748918,-121.6973065,41.8,39.6,3.3,,0.01
156,156,1,,2008,8,Colorado,Gunnison,39.0116,-107.0526,Bombus balteatus,55025,43.06731606,-89.41815516,264.0,16.6,10.4,31.1,0.11
157,157,1,,2008,8,Colorado,Gunnison,39.0116,-107.0526,Bombus balteatus,4013,33.34881254,-112.4913064,295.1,58.1,3.8,,0.0
158,158,1,,2008,8,Colorado,Gunnison,39.9948,-107.0588,Bombus balteatus,6037,34.35892237,-118.2170487,305.7,61.8,0.8,,0.0
159,159,1,,2008,8,Colorado,Gunnison,39.9948,-107.0588,Bombus balteatus,6059,33.70297871,-117.7610909,16.5,58.6,2.1,,0.0
160,160,1,,2008,8,Colorado,Gunnison,39.9948,-107.0588,Bombus balteatus,6073,33.03414184,-116.735305,424.6,47.0,2.3,,0.0
161,161,1,,2008,8,Colorado,Gunnison,39.9948,-107.0588,Bombus balteatus,6075,37.75512993,-122.44088329999998,2.0,50.4,1.8,,0.0
162,162,1,,2008,8,Colorado,Gunnison,39.9948,-107.0588,Bombus balteatus,6085,37.2317948,-121.6951413,40.5,54.7,3.6,,0.0
163,163,1,Delphinium sp.,2009,8,Colorado,Larimer,40.43041,-105.73381,Bombus balteatus,17031,41.84003921,-87.81671569,186.5,6.3,7.0,21.0,0.01
164,164,1,Aster sp.,2009,8,Colorado,Larimer,40.43041,-105.73381,Bombus balteatus,25025,42.33390357,-71.07309944,0.0,30.9,0.0,,0.0
165,165,1,Aster sp.,2009,8,Colorado,Larimer,40.43041,-105.73381,Bombus balteatus,48029,29.44894569,-98.52001171,210.3,45.9,7.6,17.1,0.0
